Column1,original,                              correct
,seyler asilidir,şeylər asılıdır
,İlan razi oldu,İlan razı oldu
,Qacmisam hemise,Qaçmışam həmişə
,Boynuma almadim,Boynuma almadım
,Pasa Kapital İs,Paşa Kapital İŞ
,Tesviri senet ,Təsviri sənət 
,Musiqi seneti ,Musiqi sənəti 
,Yeni texnikadir,Yeni texnikadır
,Ne bileyim yeni,Nə biləyim yəni
,Basqa bir misal,Başqa bir misal
,Mesele aydindir,Məsələ aydındır
,Niye bilirsinizmi,Niyə bilirsinizmi
,Toreme aletleri,Törəmə alətləri
,İdare Heyeti ,İdarə Heyəti 
,Guc birlikdedir,Güc birlikdədir
,Deyerli insanlar,Dəyərli insanlar
,Pis baqirsaq,Pis bağırsaq
,Alinma sozler,Alınma sözlər
,Fars menselidir,Fars mənşəlidir
,Siz sekilcisi,Siz şəkilçisi
,O sekilcisi,O şəkilçisi
,Evin sekilcisi,Evin şəkilçisi
,Xalq usaqi Kerem,Xalq uşağı Kərəm
,Bele danisma genc,Belə danışma gənc
,Lacin Saqrizeli,Laçın Sağrızəli
,Durma burada,Durma burada
,ilin qisi,ilin qışı
,Oranin qatarlari,Oranın qatarları
,Onlarin turkleri,Onların türkləri
,Ne yeyirsen,Nə yeyirsən
,Kazimov İsmayil,Kazımov İsmayıl
,Memmedov Teymur,Məmmədov Teymur
,Zeynalov Ferhad,Zeynalov Fərhad
,Senin ucun,Sənin üçün
,Bakixanov kucesi,Bakıxanov küçəsi
,Koroglu operasi,Koroglu operası
,Ninni canaqqala,Ninni Çanaqqala
,İqtisadi sahede,İqtisadi sahədə
,Bu esrde,Bu əsrdə
,Hamisi eledir,Hamısı elədir
,Buna olke deyilir,Buna ölkə deyilir
,Suda qaynadilir,Suda qaynadılır
,Bisirib ye,Bişirib ye
,Gunesde tutulur,Günəşdə tutulur
,Aya bax,Aya bax
,"Ne var, ne yox?","Nə var, nə yox?"
,Qezetim harada?,Qəzetim harada?
,Men muhendisem.,Mən mühəndisəm.
,Cavab asan idi.,Cavab asan idi.
,Aq sir gorurem.,Ağ şir görürəm.
,Bicaqim itidir.,Bıçağım itidir.
,Heyat cetindir.,Həyat çətindir.
,Hovuza gedirik.,Hovuza gedirik.
,Getmemeli idin.,Getməməli idin.
,İtleri sevirem.,İtləri sevirəm.
,Qatiq lezzetli.,Qatıq ləzzətli.
,Pizza yeyirdim.,Pizza yeyirdim.
,O bir yoldasmi?,O bir yoldaşmı?
,Sen bilirsenmi?,Sən bilirsənmi?
,Yasil evim var.,Yaşıl evim var.
,O doyusde oldu.,O döyüşdə öldü.
,Hansi yaxsidir?,Hansı yaxşıdır?
